frame,has_traffic_light,has_pedestrian,has_vehicle,px_traffic_light,px_pedestrian,px_vehicle
000000,False,False,True,0,0,85
000010,False,True,True,14,301,1138
000020,True,True,True,99,196,517
000030,True,True,True,99,181,530
000040,True,True,True,101,169,538
000050,True,True,True,101,160,538
000060,True,True,True,115,149,572
000070,True,True,True,115,160,582
000080,True,True,True,118,473,588
000090,True,True,True,118,407,580
000100,True,True,True,117,336,532
000110,True,True,True,188,466,592
000120,True,True,True,289,62,676
000130,True,True,True,636,84,896
000140,False,True,True,37,128,409
000150,False,True,True,37,221,350
000160,True,True,True,54,462,454
000170,True,True,True,56,215,199
000180,True,True,True,70,813,367
000190,True,False,True,122,0,260
000200,True,False,True,392,0,264
000210,True,False,True,395,0,151
000220,True,False,True,395,0,97
000230,True,False,True,395,0,71
000240,True,False,True,395,0,53
000250,True,False,True,483,0,48
000260,True,False,True,80,0,44
000270,True,False,True,143,0,47
000280,True,False,True,169,0,71
000290,True,False,False,472,0,30
000300,True,False,False,74,1,15
000310,True,False,False,142,0,17
000320,True,False,False,380,1,34
000330,True,False,True,402,1,41
000340,True,False,True,402,1,49
000350,True,False,True,402,0,62
000360,True,False,True,402,0,62
000370,True,False,True,402,0,62
000380,True,False,True,402,0,62
000390,True,False,True,402,0,77
000400,True,False,True,402,0,79
000410,True,False,True,402,0,90
000420,True,False,True,402,0,74
000430,True,False,True,402,0,59
000440,True,False,False,402,0,27
000450,True,False,False,402,3,0
000460,True,False,False,402,2,23
000470,True,False,False,402,4,10
000480,True,False,False,402,5,14
000490,True,False,False,402,4,26
000500,True,False,False,402,5,21
000510,True,False,False,402,5,9
000520,True,False,False,402,4,29
000530,True,False,False,402,3,24
000540,True,False,True,402,2,83
000550,True,False,False,404,2,0
000560,True,False,False,1356,1,0
000570,False,False,False,20,6,0
000580,True,False,False,59,2,3
000590,True,False,False,130,0,21
000600,False,False,False,19,0,20
000610,True,False,True,45,0,46
000620,True,False,True,52,0,317
